"CCAA"	"IDENTHOGAR"	"ESTRATO"	"SEXO_i"	"EDAD_i"	"NORDEN_Ai"	"NORDEN_Mi"	"NADULTOS"	"NMENORES"	"A7_1_i"	"NORDEN_Pref"	"A7_2"	"A8_1_i"	"A8_2_i"	"NORINF"	"A9_otra"	"A10_i"	"A11_i"	"A12"	"B13"	"B14"	"B15_2"	"B16_2"	"B17"	"B18"	"B19a_2"	"B19b_2"	"B20a_2"	"B20b_2"	"B21a"	"B21b"	"FACTORHOGAR"	"CLASE_PR"	"D23_1"	"D23_2"	"D23_3"	"D23_4"	"D23_5"	"D23_6"	"D23_7"	"D23_8"	"D23_9"	"D23_10"	"D23_11"	"D24"	"D26"
"16"	"02296091"	"1"	"1"	64	"01"	"  "	4	0	"1"	"01"	"01"	"1"	"01"	"02"	" "	"09"	"3"	"3"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	743.702	"1"	"1"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"99"
"16"	"02296091"	"1"	"2"	57	"02"	"  "	4	0	"2"	"01"	"01"	"2"	"02"	"02"	" "	"09"	"1"	"3"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	743.702	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"02296091"	"1"	"2"	27	"03"	"  "	4	0	"2"	"01"	"01"	"2"	"03"	"02"	" "	"09"	"1"	"3"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	743.702	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"02296091"	"1"	"1"	24	"04"	"  "	4	0	"2"	"01"	"01"	"2"	"03"	"02"	" "	"08"	"1"	"3"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	743.702	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"02296131"	"1"	"2"	80	"01"	"  "	1	0	"1"	"01"	"01"	"1"	"01"	"01"	" "	"04"	"3"	"1"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	731.482	"5"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"01"
"16"	"02296151"	"1"	"2"	39	"01"	"  "	2	0	"1"	"01"	"02"	"2"	"10"	"02"	" "	"09"	"1"	"8"	" "	" "	"   "	"   "	" "	" "	"631"	"   "	"271"	"   "	"1"	" "	651.039	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"02296151"	"1"	"2"	35	"02"	"  "	2	0	"2"	"01"	"02"	"1"	"01"	"02"	" "	"09"	"1"	"8"	" "	" "	"   "	"   "	" "	" "	"631"	"   "	"271"	"   "	"1"	" "	651.039	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"99"
"16"	"02297011"	"1"	"1"	38	"01"	"  "	2	0	"1"	"01"	"01"	"1"	"01"	"01"	" "	"06"	"1"	"2"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	767.98	"5"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"03"
"16"	"02297011"	"1"	"2"	32	"02"	"  "	2	0	"2"	"01"	"01"	"2"	"02"	"01"	" "	"05"	"1"	"2"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	767.98	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"02297021"	"1"	"1"	83	"01"	"  "	2	0	"1"	"01"	"02"	"2"	"02"	"02"	" "	"03"	"3"	"2"	"1"	" "	"   "	"   "	" "	" "	"   "	"412"	"   "	"833"	" "	"1"	739.386	"5"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
